year,period,value,Date,Inflation Rate (%),Inflation_Rate,Month
2022,4,289.109,2022-04-01,0.5582531025655202,0.5582531025655202,4
2022,5,292.296,2022-05-01,1.1023523999598828,1.1023523999598828,5
2022,6,296.311,2022-06-01,1.3736075758819855,1.3736075758819855,6
2022,7,296.276,2022-07-01,-0.011811913833770227,-0.011811913833770227,7
2022,8,296.171,2022-08-01,-0.03543992763505033,-0.03543992763505033,8
2022,9,296.808,2022-09-01,0.21507845130008807,0.21507845130008807,9
2022,10,298.012,2022-10-01,0.4056494434112379,0.4056494434112379,10
2022,11,297.711,2022-11-01,-0.10100264418881899,-0.10100264418881899,11
2022,12,296.797,2022-12-01,-0.30700914645410693,-0.30700914645410693,12
2023,1,299.17,2023-01-01,0.7995363834540026,0.7995363834540026,1
2023,2,300.84,2023-02-01,0.5582110505732318,0.5582110505732318,2
2023,3,301.836,2023-03-01,0.33107299561230263,0.33107299561230263,3
2023,4,303.363,2023-04-01,0.5059038683258521,0.5059038683258521,4
2023,5,304.127,2023-05-01,0.25184350102023245,0.25184350102023245,5
2023,6,305.109,2023-06-01,0.3228914236486524,0.3228914236486524,6
2023,7,305.691,2023-07-01,0.19075150192227053,0.19075150192227053,7
2023,8,307.026,2023-08-01,0.4367155068353501,0.4367155068353501,8
2023,9,307.789,2023-09-01,0.24851315523766182,0.24851315523766182,9
2023,10,307.671,2023-10-01,-0.03833795229848391,-0.03833795229848391,10
2023,11,307.051,2023-11-01,-0.20151395484137025,-0.20151395484137025,11
2023,12,306.746,2023-12-01,-0.09933203278934544,-0.09933203278934544,12
